Strain Assessment Type,0,ASME 2016
Calculation Mode,      1, calculated circ and axial. 
Axial smooth factor,   0.001
Circ smooth factor,    0.0001
Channels analysed, 29, 30, 31, 32, 33, 34, 
Intermed circ traces,5
Wall Thickness,    6.350000 mm, 0.250000 in 
OD,                323.850000 mm, 12.750000 in 
Axial Disp  (m)
No of rows, 321, no of cols, 7 
        6277.326129600000058,   0.000082398038186,  -0.000875628947394,  -0.002217207198372,   0.000000000000000,  -0.000816229690518,  -0.000087026667776, 
        6277.328263200000038,   0.000082599768780,  -0.000886309654271,  -0.002237110566224,   0.000000000000000,  -0.000827259837039,  -0.000084333166688, 
        6277.330396800000926,   0.000082829366901,  -0.000897099418280,  -0.002257025672137,   0.000000000000000,  -0.000838484591170,  -0.000081624132493, 
        6277.332225600000129,   0.000083044974773,  -0.000906433873059,  -0.002274102799832,   0.000000000000000,  -0.000848262821679,  -0.000079291544340, 
        6277.334359200000108,   0.000083315045609,  -0.000917423449377,  -0.002294031173075,   0.000000000000000,  -0.000859856579847,  -0.000076559944261, 
        6277.336188000001130,   0.000083559522539,  -0.000926927493726,  -0.002311114024945,   0.000000000000000,  -0.000869955300675,  -0.000074211458775, 
        6277.338321600000199,   0.000083856691687,  -0.000938113214990,  -0.002331041897332,   0.000000000000000,  -0.000881927233597,  -0.000071465307801, 
        6277.340150400000311,   0.000084118735747,  -0.000947784091066,  -0.002348118015856,   0.000000000000000,  -0.000892353461878,  -0.000069107791506, 
        6277.342284000001200,   0.000084428870591,  -0.000959163023397,  -0.002368030815791,   0.000000000000000,  -0.000904711331044,  -0.000066355212092, 
        6277.344417600000270,   0.000084739208410,  -0.000970644861841,  -0.002387929466034,   0.000000000000000,  -0.000917279591138,  -0.000063602733746, 
        6277.346246400000382,   0.000085001898204,  -0.000980568020215,  -0.002404971033491,   0.000000000000000,  -0.000928220842064,  -0.000061245568824, 
        6277.348379999999452,   0.000085300848420,  -0.000992239813657,  -0.002424832800816,   0.000000000000000,  -0.000941182960796,  -0.000058500499876, 
